COMPANYID,JOBTITLE,COMPANYNAME,RATING,JOBLOCATION,JOBSUMMARY,POSTDATE,EXTRACTIONDATE,POTENTIALCOMPENSATION
304,"Program Manager, Loyalty (Remote)",Asics Digital,,Boston,"the role falls under asics digital and will report to the senior director of program & operations. as a program lead, you will drive planning and execution of…",30,2022-05-04,Full-time
305,Product Manager,Youreka,,Boston,"we empower business users with easy to use, drag and drop tools for configuring best in class mobile experiences.",30,2022-05-04,
306,"Sr. Consultant, E-Communications Product Manager",Lincoln Financial,3.6,Boston,"effective productivity/technology tools and training. lincoln will not ask applicants to provide their social security numbers, date of birth, bank account…",21,2022-05-04,"$83,500 - $179,100 a year"
307,"Senior Product Manager, Mobile App",Angi,3.3,Boston,"an app expert: you eat, sleep and breathe mobile apps and know how to leverage the right advantages of native ios and android platforms to drive engagement,…",4,2022-05-04,
308,Cyber - Identity and Access Management - Experienced Associa...,PRICE WATERHOUSE COOPERS,4.0,Boston,"ldap, identity and access technology concepts and understanding of software development. communicating in an organized and knowledgeable manner in written and…",13,2022-05-04,
309,Product Manager (Remote),SentinelOne,3.6,Boston,sentinelone is looking for a product manager to support singularity mobile within the xdr product management organization. experience in agile is a plus.,30,2022-05-04,
310,Group Product Manager,Corvus Insurance,5.0,Boston,"define, track, and report out kpis that help track our product performance. possess a strong belief in the importance of a servant leadership management style –…",14,2022-05-04,
311,"Senior Manager, Engineering - Remote",Cogito Corporation,,Boston,"cogito embraces an office optional workspace where cogicians can work remotely, in office or a hybrid of the two. this includes onshore and offshore teams.",30,2022-05-04,Full-time
312,Distributed Systems Quality Engineering Manager,Canonical - Jobs,,Boston,"you understand modern linux cloud computing technologies, including networking, storage, containers and k8s. these include both infrastructure such as maas, lxd…",4,2022-05-04,
313,IAM Bootcamp Solution Consultant- Remote/Delivery Center Rol...,Deloitte,4.0,Boston,"facilitate the use of technology-based tools or methodologies to review, design and/or implement products and services.",19,2022-05-04,Full-time
314,Program Manager- Customer Success,Transmit Security,,Boston,we are seeking an experienced program manager who is responsible for coordinating the implementation and optimization of transmit security's portfolio of…,30,2022-05-04,
315,Principal Developer,Intact Insurance Specialty Group,,Canton,demonstrates a keen ability to research and understand new technology trends in the application development discipline. on the job training is also recognized.,30,2022-05-04,
316,Product Development - Digital Engineering - Experienced Asso...,PRICE WATERHOUSE COOPERS,4.0,Boston,"we focus on a collection of organizational technology capabilities, including business intelligence, data management, and data assurance that help our clients…",30,2022-05-04,
317,IT Software Distribution Spec,The Trustees of Tufts College,,Somerville,"the it software distribution specialist is responsible for managing distribution, managing license files, and handling requests of desktop/client software…",26,2022-05-04,
318,Group Product Manager,Corvus Insurance,5.0,Boston,"define, track, and report out kpis that help track our product performance. possess a strong belief in the importance of a servant leadership management style –…",14,2022-05-04,
319,PLM Services Consultant REMOTE,Siemens,4.0,Boston,"teamcenter supports a product’s entire lifecycle, with a systems level approach to product development, through the simulation of product design and business…",30,2022-05-04,Full-time
320,IT Audit Manager - SOC,A-LIGN External,,Boston,"master's or bachelor's degree in accounting, management information systems, or other relevant discipline. as a managing consultant, your responsibilities will…",30,2022-05-04,Full-time
321,"Manager, Cyber Defense (remote)",Raytheon Intelligence & Space,4.0,Burlington,"ability to systematically troubleshoot problems to determine root cause and resolution comfortable. as a member of the team, you will provide value-added it…",30,2022-05-04,Full-time
322,Principal Product Manager,Owl Labs,,Boston,"high level understanding of the video communication technologies such as webrtc, rtp. your influence will span across the product, software engineering and…",30,2022-05-04,
323,HRIS Analyst,Agero,3.1,Medford,"serves as liaison between vendors and/or it and hr end users to troubleshoot functional system issues, identify root causes and partner with stakeholders to fix…",21,2022-05-04,
324,HRIS Analyst (Remote - EST),Beacon Communities LLC,3.5,Boston,conducts training to users on processes/functionality. collaborates with business partners & actively consults functional users to analyze current existing…,28,2022-05-04,Full-time
325,ServiceNow Developer,Tripadvisor,3.9,Needham,"2-3 years of developer, technical, or business experience, with a preference in hr technology space or supporting hr groups.",12,2022-05-04,
326,Data Programmer,National Bureau of Economics,,Cambridge,"serve as a resource for data users, helping them to navigate nber’s computing resources and to use statistical software.",29,2022-05-04,Full-time
327,"Associate Director, Global Applied Digital Innovation",Alnylam,4.4,Cambridge,"keep an eye on what’s next and introduce tools, services and partners that will help commercial and med affairs teams to better engage digitally.",30,2022-05-04,Full-time
328,Azure Cloud Architect,Abarca Health,3.3,Boston,"maintain overall industry knowledge on latest trends and technology. that includes the creation of a technology framework, providing technical leadership in…",22,2022-05-04,
329,Google Cloud Engineer/SME (Intermediate) - Remote,"HCH Enterprises, LLC",3.7,Providence,"as a google cloud practitioner, you will help users understand google cloud's tools for developers and help them onboard to google cloud faster.",5,2022-05-04,"$110,000 - $130,000 a year"
330,"Senior Architect, Team Lead - Remote",Akamai,4.1,Cambridge,"we ensure system owners can efficiently roll out system capabilities. we are leaders who research, coach, analyze and prototype.",30,2022-05-04,
331,EPM Product Manager & Analyst - Remote Job,Boston Scientific Corporation,3.9,Marlborough,"responsible for product development prioritization and decisions on releases, as a result of a close partnership with developers, end users and the business.",30,2022-05-04,
332,"Director, Product Management",Lookout,4.0,Boston,"drive technology partnerships & integrations with other enterprise security vendors. our approach to mobile security, from the beginning, has been to analyze…",28,2022-05-04,
333,Salesforce Developer,Chenega MIOS,,Natick,"the salesforce developer will provide expertise to a cross-functional agile development team developing custom objects, page layouts, and record-types to…",15,2022-05-04,
334,Cloud Security Engineer,Poloniex,,Boston,"designing, developing, and implementing new cloud security technologies to support business and technology solutions.",30,2022-05-04,
335,Cybersecurity/ Pen Testing- Remote,TUV Rheinland of North America,3.1,Littleton,"this is a technical role, candidates must possess solid knowledge of information systems and information security, preferably with a strong computer science…",30,2022-05-04,
336,Product Manager/Business Analyst (remote),KBR,4.1,Cambridge,"3+ years of experience working directly with project sponsors and end users. strong interpersonal skills to interact with stakeholders: sponsors, customers, end…",30,2022-05-04,Full-time
337,Senior Supply Chain Systems Analyst,Dana-Farber Cancer Institute,4.1,Brookline,"proven experience in erp query, reporting tools, database systems, and desktop operating systems/software. the senior supply chain systems analyst will serve as…",30,2022-05-04,Full-time
338,"Robotics Customer Support (Tier II Level, Remote, Technical)...",Locus Robotics,3.7,Wilmington,ability to communicate technical/complex information both verbally and in writing. locus robotics is seeking robotics customer support tier 2 team members to…,30,2022-05-04,Full-time
339,Security Architect,Abarca Health,3.3,Boston,identity and access management; tracking and creating/enforcing policies that govern access sensitive technology resources and information assets.,22,2022-05-04,
340,Strategic Program Manager,Acquia,4.1,Boston,"ensure all program/project documentation is updated and maintained to include kick off documents, plans, risk and issue logs, change control documents, lessons…",30,2022-05-04,
341,IT Relationship/ Project Manager,Brooks Automation,3.5,Chelmsford,"elicit, analyze, communicate and be a strategic partner to solve challenges using technology. communicate with stakeholders to uncover their technology needs…",13,2022-05-04,Full-time
342,Project Director,Neo4j,,Boston,analyze and maintain aggregated project financial information working with ps management and corporate f&a. this is a technical project leadership position and…,30,2022-05-04,Full-time
343,Software Implementation Specialist (SaaS),Origami Risk LLC,,Boston,the software implementation specialist/client executive is part of the professional service team at origami risk. support and lead projects and implementations.,26,2022-05-04,Full-time
344,"Manager, IT",Bausch Health Companies,2.8,South,"oversee all the operational tasks required to provision and de-provision users, which includes the creation of user ids, management of identity groups, granting…",5,2022-05-04,
345,Senior IT Auditor - Remote,A-LIGN External,,Boston,"master's degree or bachelor's degree in accounting, management information. as a soc senior consultant, your responsibilities will include project execution and…",30,2022-05-04,Full-time
346,"Senior Product Manager, Credit Card Fraud - Remote Eastern T...",Recorded Future,,Somerville,"you will run all product management aspects through development, launch, and go-to-market. this role will be focused on our fraud intelligence solutions which…",30,2022-05-04,
347,Data Configuration Manager (Secret Clearance Required) - Rem...,ADM,3.5,Boston,"adm is seeking a data and configuration manager to support cdrls, baselines, and assets/licenses on a dod usaf contract . manage and control product baselines.",30,2022-05-04,Full-time
348,Solution Consultant - East,Zuora,3.7,Boston,become a key partner to our sales team and help the team hit their quarterly revenue goals. strong business value selling experience and familiarity with saas…,30,2022-05-04,
349,Lead Engineer – Identity and Access Management,Federal Reserve Bank of Boston,4.3,Boston,"with a solid foundation in directory services, identity and access management and security, you can help move the fed forward.",30,2022-05-04,Full-time
350,Technical Manager (Experiences),Tripadvisor,3.9,Needham,mentor software engineers to help them develop their software design and development skills. work with everyone from engineers to product owners to c-level…,20,2022-05-04,
351,Okta Specialist - Remote/Delivery Center Role,Deloitte,4.0,Boston,"from our centers, we work with deloitte consultants to design, develop and build solutions to help clients reimagine, reshape and rewire the competitive fabric…",30,2022-05-04,Full-time
352,Technical Program Manager,Noodle,4.5,Boston,partner with engineering and product management to help define a strategic roadmap and deliver on business initiatives and key metrics.,12,2022-05-04,Full-time
353,Engineering Project Manager (Remote),Medically Home,2.6,Boston,balance engineering time allocation between customer-facing work and development of internal tasks and tools that improve efficiency and help to maintain…,13,2022-05-04,
354,Cyber Security Architect (Remote),BD,3.8,Andover,"keep abreast of advances in secure system design and development practices, threats and threat actors, and new attack techniques or areas of security research,…",5,2022-05-04,
355,"Governance, Risk and Compliance Manager",Sparks Group,4.0,Boston,build cybersecurity process risk & control frameworks for clients that are rationalized against applicable laws and standards.,3,2022-05-04,
356,Senior Software Engineer-1,Ameriprise Financial,3.8,Boston,"evaluate, troubleshoot, and lead root-cause analysis for production issues and system failures. expert level application of technology/engineering knowledge…",30,2022-05-04,
357,Technical Product Owner,Blue Cross Blue Shield of Massachusetts,4.0,Quincy,develop information awareness across the organization ensuring that the business leverage data to drive decisions. healthcare domain knowledge is a huge plus.,30,2022-05-04,Full-time
358,"Cybersecurity - ServiceNow - Business Analyst, Associate",PRICE WATERHOUSE COOPERS,4.0,Boston,"handle, manipulate and analyse data and information responsibly. has knowledge of javascript, angularjs, html, css, jelly or similar web technologies;",30,2022-05-04,
359,Senior Supply Chain Systems Analyst,Dana-Farber Cancer Institute,4.1,Brookline,"proven experience in erp query, reporting tools, database systems, and desktop operating systems/software. the senior supply chain systems analyst will serve as…",30,2022-05-04,Full-time
360,Marketing & Sales Technology Product Manager,PRICE WATERHOUSE COOPERS,4.0,Boston,use multiple sources of information including broader stakeholder views to develop solutions and recommendations. managing and motivating the project team;,5,2022-05-04,
361,Director of Commercial Partnerships - Stays (Remote US),KAYAK,3.6,Cambridge,kayak is seeking a highly-motivated director of commercial partnerships to help drive commercial activities in north america; building and maintaining business…,13,2022-05-04,
362,Associate Business Architect - HR Technology,avidxchange,3.5,Boston,researches and provides information on industry & technology trends and competitors’ practices relevant to assigned lob customer and/or capabilities.,30,2022-05-04,Full-time
363,Systems Analyst,Geologics Corporation,4.0,Hudson,"project involvement will include application development, software upgrades, new application installation, integrating systems, troubleshooting, and performance…",26,2022-05-04,$56 - $74 an hour
364,Senior Manager SOX IT,CIRCOR,3.2,Burlington,"understands business processes, particularly information technology related areas, and related master data. evaluate changes in process, people, and technology…",30,2022-05-04,Full-time
365,Informatics Specialist II,Dana-Farber Cancer Institute,4.1,Boston,"experience with the design, development, and implementation of sophisticated information systems, especially with large-scale relational systems.",30,2022-05-04,Full-time
366,IT Risk Audit Senior - REMOTE,Ryder System,3.3,Boston,"bachelor's degree required in accounting, finance, management information sciences, or related field. the senior auditor is responsible for planning and…",30,2022-05-04,
367,Cybersecurity/ Pen Testing- Remote,TUV Rheinland of North America,3.1,Littleton,"this is a technical role, candidates must possess solid knowledge of information systems and information security, preferably with a strong computer science…",30,2022-05-04,
368,Product Manager,BlueConic,,Boston,"technical proficiency with marketing technology, advertising technology, and/or customer analytics. help build the best marketing technology product there is.",30,2022-05-04,Full-time
369,"Lead Engineer, Enterprise Solutions (FULLY REMOTE)",TJX Companies,3.6,Marlborough,"as a finance staff engineer, you will help drive our delivery of business value through technical solutions across our systems.",30,2022-05-04,
370,IS Integration Engineer,Dana-Farber Cancer Institute,4.1,Boston,"7 years of related integration experience, including experience with healthcare information systems. ability to troubleshoot, diagnose and accurately document…",30,2022-05-04,Full-time
371,Application Security Engineer II,Payscale,3.5,Boston,"strengths based tools designed to help employees engage with peers and managers, supported through a program called standout.",2,2022-05-04,Full-time
372,"Product Manager - Data Focus, Remote US","TriNetX, LLC",,Cambridge,"as a product manager, you will help bring to market new product and service capabilities for trinetx. technical knowledge and experience with jira, confluence,…",5,2022-05-04,Full-time
373,Sr. Technical Analyst - Adobe Experience Manager (REMOTE),Splunk,4.2,Boston,"socialize functionality with business users, including driving uat and demos. knowledge of web technologies (e.g., apis, html/css/js, etc.).",30,2022-05-04,"$115,000 a year"
374,"Senior Manager, Technical Support",EDB,3.6,Boston,"previous experience in delivery of complex technology to enterprise customers. strong practical knowledge of current technology and trends including, but not…",29,2022-05-04,
375,Manager Project / Program,IDEMIA,2.8,Billerica,"general analytical skills for project evaluation including analysis of projects with economic, financial, risk and decision analysis.",30,2022-05-04,Full-time
376,"Lead Engineer, Enterprise Solutions (FULLY REMOTE)",TJX Companies,3.6,Marlborough,"as a finance staff engineer, you will help drive our delivery of business value through technical solutions across our systems.",30,2022-05-04,
377,"Microsoft Power Platform Administrator, Senior",Booz Allen Hamilton,3.9,Boston,"knowledge of industry best practices for designing, implementing, and maintaining cloud computing technologies.",30,2022-05-04,
378,Underwriting Director,Pacific Life,3.8,Boston,has contact with all levels of underwriting and the field force to gather information on which to base decisions. ability to consult and provide guidance.,12,2022-05-04,Full-time
379,Senior Financial Systems Administrator - NetSuite,Recorded Future,,Somerville,manage users access and provision roles and data access based on organization-defined data security policies and user role matrix as well as build custom roles…,12,2022-05-04,
380,Senior Systems Engineer,GelSight,,Waltham,"you will work collaboratively with the r&d team, product management and sales to increase product roadmap by defining a modular hardware/software system that…",25,2022-05-04,
381,"HPC Gateway Engineer, 1yr ltd term - Tufts Technology Servic...",The Trustees of Tufts College,,Somerville,willing and able to learn technologies and required domain knowledge at a rapid pace. this is a one (1) year limited term assignment and this role would not be…,30,2022-05-04,
382,Senior Product Manager,Cohere Health,3.6,Boston,"you love being in the field to learn about needs - talking with users, customers, partners, and stakeholders - and are able to quickly synthesize, develop…",30,2022-05-04,
383,"Sr. Manager, Product Management- SaaS",Datto Jobs,,Boston,a technical background with an understanding and/or hands-on experience in software development and web technologies. flexible paid time off policy.,12,2022-05-04,
384,"Engineer, Applications Engineering",i-Automation,3.8,North,"iautomation’s product offering includes machine control, motion control, sensing and vision, safety systems, mechanical components and stages.",30,2022-05-04,Full-time
385,Sr. Catastrophe Risk Analyst (Open to Remote),Homesite Insurance,3.2,Boston,homesite’s catastrophe management team is searching for a catastrophe risk analyst who will apply their technical knowledge/skills to support the assessment of…,30,2022-05-04,"Up to $190,500 a year"
386,"Senior Product Manager, Continuous Coverage (Remote)",Recruiting From Scratch,,Boston,"as a product manager, you’ll be responsible for product planning, scoping, and execution. you'll work to define concrete projects for the product engineering…",7,2022-05-04,"$175,000 - $210,000 a year"
387,Informatics Specialist II,Dana-Farber Cancer Institute,4.1,Boston,"experience with the design, development, and implementation of sophisticated information systems, especially with large-scale relational systems.",30,2022-05-04,Full-time
388,Solution Consultant I,Seismic,4.1,Boston,work with clients to help them learn seismic's software and implementation best practices. ability to understand a client's existing content structure and use…,22,2022-05-04,
389,"Senior Security, Firewall Engineer - REMOTE US",Pearson,3.7,Boston,"project management experience managing implementations of new enterprise-wide technology initiatives. thorough understanding of the latest technologies,…",30,2022-05-04,
390,Incident Response Analyst,Media.Monks,,Boston,"we are looking for an incident response analyst who is able to analyze security events and investigate potential incidents, validate and manage high priority…",30,2022-05-04,
391,"Senior Security, Firewall Engineer - REMOTE US",Pearson,3.7,Boston,"project management experience managing implementations of new enterprise-wide technology initiatives. thorough understanding of the latest technologies,…",30,2022-05-04,
392,Incident Response Analyst,Media.Monks,,Boston,"we are looking for an incident response analyst who is able to analyze security events and investigate potential incidents, validate and manage high priority…",30,2022-05-04,
393,MAXIMO DEVELOPER,JFC & Associates,,Boston,"must be familiar with various client-server software, legacy systems, internet technology, enterprise applications, and integration techniques and technology.",30,2022-05-04,
394,Cloud Engineer,Julia Computing,,Boston,"participate in all aspects of the software development life cycle for aws based solutions, including planning, requirements, development, testing, and quality…",30,2022-05-04,Full-time
395,Software Engineer - Routing/Multi Cloud/Distributed Systems,Aviatrix,,Boston,"knowledge of enterprise and mid-market it trends, products, and technologies. 0-4 years of professional software development experience in bgp routing, layer 3…",30,2022-05-04,
396,Enterprise Architect - Remote,Ryder System,3.3,Boston,"researches and evaluates software technology, products, solutions and makes recommendations on technology/production introduction, phase out and retirement.",1,2022-05-04,
397,"Senior Software Product Manager, Identity Management - Remot...",Pearson,3.7,Boston,"write, groom, and prioritize users stories. the senior product manager for identity management provides leadership for multiple cross-functional software…",1,2022-05-04,"$120,000 - $140,000 a year"
398,Application Engineer CC,The Hanover Insurance Group,3.7,Worcester,"employees declining to provide information related to their vaccine status, will be considered unvaccinated or not fully vaccinated for the purposes of the…",21,2022-05-04,Full-time
399,"Senior Product Manager, Memberships",Angi,3.3,Boston,"deeply understand our users, their problems, where they find value, and consistently strive to improve the overall customer experience from start to finish.",1,2022-05-04,
400,Blockchain Engineer (CuEx) at Institutional Digital Asset Co...,Recruiting From Scratch,,Boston,work closely with different blockchain experts to improve functionality on a variety of projects for multiple coins. solid understanding of algorithm design.,30,2022-05-04,"$100,000 - $150,000 a year"
401,MS Dynamics NAV Systems Analyst (Remote),Milton s Distributing Co Inc,,Mansfield,"support business users in all departments (e.g., finance, customer service, supply chain, warehouse operations), to assist in troubleshooting, resolving issues,…",30,2022-05-04,Full-time
402,Technical Project Manager,PRECISIONeffect,2.4,Boston,effectively communicate technical information to internal and partner teams. act as the technical point of contact throughout the full project lifecycle…,29,2022-05-04,
403,Principal Operations Engineer,PTC Inc.,3.7,Boston,successful candidates will be self-motivated and hands-on with the ability to dig into the code and help improve our deployment infrastructure.,30,2022-05-04,
404,Sr Cyber Security Architect (Fully Remote Available) Job,Boston Scientific Corporation,3.9,Marlborough,"assist technology and security teams evaluate new services, technologies, and solutions. work closely with engineering to help report issues and lead project…",22,2022-05-04,
405,PwC Technology - Senior Program Manager,PRICE WATERHOUSE COOPERS,4.0,Boston,"you’ll focus on managing the design and implementation of technology infrastructure within pwc, developing and enhancing both client and internal facing…",30,2022-05-04,
406,Cybersecurity Instructional Design Manager - Remote Eastern...,Recorded Future,,Boston,bachelor's degree in technical field or relevant work in information security. the cybersecurity instructional design manager must possess strong leadership…,30,2022-05-04,
407,TRUE Project Manager (Open to Remote),Homesite Insurance,3.2,Boston,"possess a deep understanding of the technologies and systems used in insurance industry. working knowledge of technologies like react, java, restful apis, and…",20,2022-05-04,"Up to $152,000 a year"
408,"Associate Director of Product Management, Display Health (Re...",Wayfair,3.0,Boston,"partnering with engineering, experience design, analytics and business leaders across wayfair, our product team ensures that we’re building technology that…",30,2022-05-04,
409,Linux Engineering Manager - Optimisation for Latest Hardware,Canonical - Jobs,,Boston,"you have a bachelor's (or equivalent university level) degree, preferably in a technology field. as a partner engineering manager at canonical your role is to…",30,2022-05-04,
410,Engineering Manager - US Remote,Randori,,Waltham,"experience with cloud computing technologies such as gcp, aws, azure or rackspace. this includes understanding and following security policies, participation in…",30,2022-05-04,Full-time
411,Sr. Project Manager - Clinical Trials/ Studies,Biofourmis,,Boston,"bachelor's degree in business, healthcare, information technology or related industry. this role is also required to play as a business analyst to help…",12,2022-05-04,
412,Technical Product Owner,Blue Cross Blue Shield of Massachusetts,4.0,Quincy,develop information awareness across the organization ensuring that the business leverage data to drive decisions. healthcare domain knowledge is a huge plus.,30,2022-05-04,Full-time
413,ERP Implementation Consultant,BHE Consulting,,Boston,"net, sql server, oracle and java technology. significant product and domain expertise and knowledge of relevant business, application and technologies.",30,2022-05-04,
414,Digital Products - Product Manager,PRICE WATERHOUSE COOPERS,4.0,Boston,"managing/coaching small multidisciplinary product teams and collaborating with designers, business users, and developers to innovate and drive product…",17,2022-05-04,
415,PwC Technology - SAP Architect (Remote),PRICE WATERHOUSE COOPERS,4.0,Boston,"you’ll focus on managing the design and implementation of technology infrastructure within pwc, developing and enhancing both client and internal facing…",30,2022-05-04,
416,"Senior Product Manager, Credit Card Fraud - Remote Eastern T...",Recorded Future,,Somerville,"you will run all product management aspects through development, launch, and go-to-market. this role will be focused on our fraud intelligence solutions which…",30,2022-05-04,
417,Distributed Systems Quality Engineering Manager,Canonical - Jobs,,Boston,"you understand modern linux cloud computing technologies, including networking, storage, containers and k8s. these include both infrastructure such as maas, lxd…",4,2022-05-04,
418,Vulnerability Management Lead - REMOTE,Ryder System,3.3,Boston,"strong knowledge of technology and security topics including network security, wireless security, application security, infrastructure hardening, security…",13,2022-05-04,
419,"Sr. Consultant, E-Communications Product Manager",Lincoln Financial,3.6,Boston,"effective productivity/technology tools and training. lincoln will not ask applicants to provide their social security numbers, date of birth, bank account…",21,2022-05-04,"$83,500 - $179,100 a year"
420,Marketing & Sales Technology Product Manager,PRICE WATERHOUSE COOPERS,4.0,Boston,use multiple sources of information including broader stakeholder views to develop solutions and recommendations. managing and motivating the project team;,5,2022-05-04,
421,Sr. Program Manager - Cyber Security (US Remote Available),Splunk,4.2,Boston,"in this role you will provide operational support, and work alongside the service owners to develop and execute a strategy to optimize service delivery for a…",4,2022-05-04,"$90,000 a year"
422,Senior Application Security Engineer,PathAI,,Boston,"if you're the right candidate for this hands-on role, you'll be part of the pathai information security team in no time and be able to:",21,2022-05-04,
423,SEO Product Manager,Insurify,4.0,Cambridge,gather and draw insights from data that can help define areas of seo optimization. collaborate with our analytics team and use data-driven approaches to help…,30,2022-05-04,
424,Software Engineer (Development Support) - Remote,Allscripts,3.6,Burlington,"with the largest community of clients in healthcare, allscripts is able to deliver an integrated platform of clinical, financial, connectivity and information…",29,2022-05-04,
425,Field Training Analyst (Remote),"C&S Wholesale Grocers, Inc.",3.2,Boston,"proactively identify data dependencies in various information platforms, partnering with the business to identify and fix root cause.",30,2022-05-04,
426,Senior Product Manager - Receivables,AppFolio,3.9,Boston,"you will help millions of residents pay rent, moving billions of dollars as part of a major growth engine for appfolio.",30,2022-05-04,Full-time
427,PwC Technology - Sr Java Developer Lead,PRICE WATERHOUSE COOPERS,4.0,Boston,"you’ll focus on managing the design and implementation of technology infrastructure within pwc, developing and enhancing both client and internal facing…",17,2022-05-04,
428,Engineering Manager - Front End,Angi,3.3,Boston,"work on strategy and help set direction while staying on top of the day-to-day software development. build and lead a team to unify the front-end frameworks,…",4,2022-05-04,
429,"Product Management Director, Mobile","Aura Sub, LLC",3.4,Boston,"clearly communicate product plans, benefits, and results, as appropriate, to a spectrum of audiences, from internal stakeholders to aura executives, employees,…",30,2022-05-04,
430,Senior Software Implementation Project Manager,Magaya Corporation,4.1,Boston,"maintain an in-depth knowledge and understanding of technologies, applications, and services. bachelor’s degree in logistics, supply chain, business, computer…",30,2022-05-04,Full-time
431,Application Services Engineer,Healthedge,3.4,Boston,asks for help and works collaboratively with team members when issues present themselves; does not settle for not knowing the outcome or resolution steps for…,30,2022-05-04,Full-time
432,"NGD IT Quality Control Analyst Senior, Advisor",Anthem,3.6,Hingham,"it quality control analyst senior, advisor. we administer government contracts for medicare and partner with the centers for medicare and medicaid services to…",30,2022-05-04,Full-time
433,Senior Security Compliance Specialist - Remote,Akamai,4.1,Cambridge,you will work closely with product and platform teams throughout the company to help ensure our systems meet both the safety and security compliance needs of…,30,2022-05-04,
434,"Staff Consulting Architect, Cloud - Opportunity for Working...",VMware,4.1,Boston,you are a solution level subject matter expert with broad knowledge across the vmware technology stack and of 3rd party integrated products.,20,2022-05-04,Full-time
435,"Associate Director, Medical Writing & Clinical Submission Pl...",GSK,4.2,Waltham,"as a medical writing & clinical submission planning manager you will work in a matrix team to ensure delivery of high quality, fit-for-purpose clinical…",30,2022-05-04,
436,"Senior Vice President, Product Management (US Based)",D2L,3.0,Boston,"successful track record driving product for global, high-growth technology markets. the old models of teaching and learning are in the midst of the largest…",30,2022-05-04,
437,"Associate Director, Medical Writing & Clinical Submission Pl...",GSK,4.2,Waltham,"as a medical writing & clinical submission planning manager you will work in a matrix team to ensure delivery of high quality, fit-for-purpose clinical…",30,2022-05-04,
438,Senior Product Manager (Consumer),Pearl Health,,Boston,"we are specifically searching for a pm with consumer experience (healthcare not required) to engage our users (initially clinical, but we also plan to serve…",30,2022-05-04,
439,"Senior Python Engineer, Cloud (Remote)",Motional,,Boston,we provide essential tools and frameworks to support the entire lifecycle of machine learning. build large scale machine learning infrastructure that power our…,30,2022-05-04,"$172,020 a year"
440,Cloud Migration Project Manager - Opportunity for Working Re...,VMware,4.1,Boston,"this is a highly visible role in the backoffice program management team that is working to help transform euc solutions and business operations into a true,…",30,2022-05-04,Full-time
441,"Robotics Customer Support (Tier II Level, Remote, Technical)...",Locus Robotics,3.7,Wilmington,ability to communicate technical/complex information both verbally and in writing. locus robotics is seeking robotics customer support tier 2 team members to…,30,2022-05-04,Full-time
442,"Senior Director, Global Communications",Analog Devices,3.9,Wilmington,"maintain knowledge of emerging technologies, communications trends, and business skills. proven experience working with media, bloggers and industry influencers…",30,2022-05-04,
443,Regional Director Issuer Development,BondLink,,Boston,"work closely with sales executive(s) in your region to help shepherd sales opportunities from introductions, to presentations, commitment and onboarding.",30,2022-05-04,
444,Cloud Security Engineer - Remote,Ryder System,3.3,Boston,"security technologies including encryption, data protection, access privileges intermediate required. assists in the review and update of information security…",25,2022-05-04,
445,CRM Manager,Curaleaf,2.2,Wakefield,"this role will have a voice in technology selection, program strategy development, financial analysis, and communication strategy.",30,2022-05-04,
446,Mechanical Design Engineer,Azenta,,Chelmsford,support development of processes and procedures to help the company meet budgetary goals as well as performance quotas.,12,2022-05-04,
447,Digital Business Systems Analyst (Remote),Epsilon,3.4,Wakefield,supporting production staff and client end users in the use of the overall client solution with a focus on relational database and batch processing and…,30,2022-05-04,Full-time
448,"Senior Manager, Technical Support",EDB,3.6,Boston,"previous experience in delivery of complex technology to enterprise customers. strong practical knowledge of current technology and trends including, but not…",29,2022-05-04,
449,"Director, Product Management",Lookout,4.0,Boston,"drive technology partnerships & integrations with other enterprise security vendors. our approach to mobile security, from the beginning, has been to analyze…",28,2022-05-04,
450,Senior/Lead Engineer - Remote,Cantina,,Boston,"evaluates new technologies and makes appropriate recommendations. we help organizations solve complex problems and take on transformational initiatives, making…",30,2022-05-04,Full-time
451,NIS - Penetration Tester- Senior Associate (Remote),PRICE WATERHOUSE COOPERS,4.0,Boston,"demonstrating high level understanding of the principles of information security engineering, architecture, and application security; and,.",18,2022-05-04,
452,Developer - CRM,Harvard University,4.3,Cambridge,"transportation benefits to help with your daily commute. integrate: integrate apis with other data, processes, and platforms to assure that the systems within…",30,2022-05-04,Full-time
453,"Program Manager, Change Management, Pharmacy Services PMO","PillPack, LLC",3.5,Manchester,5+ years of experience in program or project management. experience using data and metrics to drive improvements. a bachelor’s degree or higher.,30,2022-05-04,Full-time
454,Principal Infrastructure Mainframe Engineer (FULLY REMOTE),The Hanover Insurance Group,3.7,Worcester,"prototype new features, functions and strategies of new application subsystem technology. provide forward thinking technical expertise in current and emerging…",30,2022-05-04,Full-time
455,"Senior Python Engineer, Cloud (Remote)",Motional,,Boston,we provide essential tools and frameworks to support the entire lifecycle of machine learning. build large scale machine learning infrastructure that power our…,30,2022-05-04,"$172,020 a year"
456,"Smart Contract Engineer, Rust (Quant Crypto Firm)",Recruiting From Scratch,,Boston,drive high-level decisions about architecture and features for web3 smart contract development and deployment. experience with graphql and building subgraphs.,30,2022-05-04,"$150,000 - $300,000 a year"
457,Senior Product Manager - New Channels,Branch,4.5,Boston,"work with sales, customer success and finance teams to help shape our positioning and pricing for these new skus. a zeal for project planning.",4,2022-05-04,
